interm,yarn
net/minecraft/class_3310$class_3311,net/minecraft/world/gen/feature/EndSpikeFeature$SpikeCache
net/minecraft/class_426$class_4195,net/minecraft/client/gui/screen/options/LanguageOptionsScreen$LanguageSelectionListWidget
net/minecraft/class_3720,net/minecraft/block/entity/BlastFurnaceBlockEntity
net/minecraft/class_3721,net/minecraft/block/entity/BellBlockEntity
net/minecraft/class_3722,net/minecraft/block/entity/LecternBlockEntity
net/minecraft/class_3716,net/minecraft/block/SmokerBlock
net/minecraft/class_42$class_43,net/minecraft/loot/operator/BoundedIntUnaryOperator$Serializer
net/minecraft/class_3717,net/minecraft/block/SmithingTableBlock
net/minecraft/class_3718,net/minecraft/block/StonecutterBlock
net/minecraft/class_3719,net/minecraft/block/entity/BarrelBlockEntity
net/minecraft/class_3712,net/minecraft/block/FletchingTableBlock
net/minecraft/class_3713,net/minecraft/block/GrindstoneBlock
net/minecraft/class_3714,net/minecraft/data/server/GiftLootTableGenerator
net/minecraft/class_3715,net/minecraft/block/LecternBlock
net/minecraft/class_2516$1,net/minecraft/nbt/ShortTag$1
net/minecraft/class_3494$class_5145,net/minecraft/tag/Tag$TrackedEntry
net/minecraft/class_3730,net/minecraft/entity/SpawnReason
net/minecraft/class_2400,net/minecraft/particle/DefaultParticleType
net/minecraft/class_2401,net/minecraft/block/LeverBlock
net/minecraft/class_3732,net/minecraft/entity/mob/PatrolEntity
net/minecraft/class_2402,net/minecraft/block/FluidFillable
net/minecraft/class_3727,net/minecraft/block/EntityShapeContext
net/minecraft/class_3728,net/minecraft/client/util/SelectionManager
net/minecraft/class_3729,net/minecraft/client/render/entity/IllagerEntityRenderer
net/minecraft/class_3723,net/minecraft/block/entity/SmokerBlockEntity
net/minecraft/class_3415$class_3416,net/minecraft/structure/ShipwreckGenerator$Piece
net/minecraft/class_3725,net/minecraft/datafixer/fix/EntityCatSplitFix
net/minecraft/class_3726,net/minecraft/block/ShapeContext
net/minecraft/class_2558$class_2559,net/minecraft/text/ClickEvent$Action
net/minecraft/class_3076$class_3077,net/minecraft/world/gen/feature/JungleTempleFeature$Start
net/minecraft/class_1999,net/minecraft/advancement/criterion/ChangedDimensionCriterion
net/minecraft/class_1996,net/minecraft/advancement/criterion/BrewedPotionCriterion
net/minecraft/class_4339$class_4340,com/mojang/realmsclient/client/Ping$Region
net/minecraft/class_1055$class_4726,net/minecraft/client/texture/TextureStitcher$SpriteConsumer
net/minecraft/class_3494$class_5123,net/minecraft/tag/Tag$Identified
net/minecraft/class_3494$class_5122,net/minecraft/tag/Tag$ObjectEntry
net/minecraft/class_447$class_4200$class_450,net/minecraft/client/gui/screen/StatsScreen$ItemStatsListWidget$ItemComparator
net/minecraft/class_3710,net/minecraft/block/BlastFurnaceBlock
net/minecraft/class_3711,net/minecraft/block/CartographyTableBlock
net/minecraft/class_3705,net/minecraft/screen/BlastFurnaceScreenHandler
net/minecraft/class_1634$class_1635,net/minecraft/entity/mob/VexEntity$ChargeTargetGoal
net/minecraft/class_3706,net/minecraft/screen/SmokerScreenHandler
net/minecraft/class_1634$class_1636,net/minecraft/entity/mob/VexEntity$TrackOwnerTargetGoal
net/minecraft/class_1634$class_1637,net/minecraft/entity/mob/VexEntity$VexMoveControl
net/minecraft/class_3708,net/minecraft/block/BarrelBlock
net/minecraft/class_1634$class_1638,net/minecraft/entity/mob/VexEntity$LookAtTargetGoal
net/minecraft/class_3701,net/minecraft/entity/passive/OcelotEntity
net/minecraft/class_2806$class_3768,net/minecraft/world/chunk/ChunkStatus$SimpleGenerationTask
net/minecraft/class_3709,net/minecraft/block/BellBlock
net/minecraft/class_289,net/minecraft/client/render/Tessellator
net/minecraft/class_1980,net/minecraft/world/biome/DeepColdOceanBiome
net/minecraft/class_284,net/minecraft/client/gl/GlUniform
net/minecraft/class_283,net/minecraft/client/gl/PostProcessShader
net/minecraft/class_281,net/minecraft/client/gl/GlShader
net/minecraft/class_1984,net/minecraft/world/biome/DeepWarmOceanBiome
net/minecraft/class_1983,net/minecraft/world/biome/DesertBiome
net/minecraft/class_287,net/minecraft/client/render/BufferBuilder
net/minecraft/class_1982,net/minecraft/world/biome/DeepLukewarmOceanBiome
net/minecraft/class_286,net/minecraft/client/render/BufferRenderer
net/minecraft/class_1981,net/minecraft/world/biome/DeepOceanBiome
net/minecraft/class_285,net/minecraft/client/gl/GlProgramManager
net/minecraft/class_1977,net/minecraft/world/biome/DarkForestHillsBiome
net/minecraft/class_1975,net/minecraft/world/biome/ColdOceanBiome
net/minecraft/class_1974,net/minecraft/world/biome/BirchForestHillsBiome
net/minecraft/class_280,net/minecraft/client/gl/JsonGlProgram
net/minecraft/class_47$class_50$class_51,net/minecraft/loot/context/LootContext$EntityTarget$Serializer
net/minecraft/class_1979,net/minecraft/world/biome/DeepFrozenOceanBiome
net/minecraft/class_1978,net/minecraft/world/biome/DarkForestBiome
net/minecraft/class_2474$class_5124,net/minecraft/data/server/AbstractTagProvider$ObjectBuilder
net/minecraft/class_1215$class_1216,net/minecraft/datafixer/fix/AddTrappedChestFix$ListFixer
net/minecraft/class_1990,net/minecraft/world/biome/EndMidlandsBiome
net/minecraft/class_293,net/minecraft/client/render/VertexFormat
net/minecraft/class_1995,net/minecraft/world/biome/FrozenOceanBiome
net/minecraft/class_299,net/minecraft/client/recipebook/ClientRecipeBook
net/minecraft/class_1994,net/minecraft/world/biome/ForestBiome
net/minecraft/class_1993,net/minecraft/world/biome/FlowerForestBiome
net/minecraft/class_1992,net/minecraft/world/biome/source/FixedBiomeSource
net/minecraft/class_296,net/minecraft/client/render/VertexFormatElement
net/minecraft/class_1988,net/minecraft/world/biome/EndBarrensBiome
