interm,yarn
field_19960,parent
field_19961,serverData
field_20961,outlineVertexConsumers
field_20963,TRANSLUCENT_NO_CRUMBLING
field_20964,LEASH
field_20965,WATER_MASK
field_32948,DEFAULT_ID
field_20967,GLINT
field_32947,CUSTOM_MODEL_DATA_KEY
field_32946,BOX
field_20968,ENTITY_GLINT
field_19968,selectedInvitedIndex
field_17304,EMPTY
field_19969,selectedInvited
field_32945,HEAD_ROLL
field_17307,oldValue
field_19966,removeButton
field_32944,HEAD_YAW
field_19967,opdeopButton
field_32943,MIN_DISTANCE
field_19964,column_width
field_32942,HORIZONTAL_SCALE
field_19965,column2_x
field_32941,CARET
field_19962,invitedObjectSelectionList
field_32940,LEASH_PIECE_COUNT
field_19963,column1_x
field_17319,bannerSlot
field_19971,stateChanged
field_20950,blockBreakingProgressions
field_20951,bufferBuilders
field_19970,player
field_20952,fallbackBuffer
field_20953,layerBuffers
field_20954,currentLayer
field_20955,activeConsumers
field_32936,COMPASS_WITH_GLINT_FIRST_PERSON_MODEL_MULTIPLIER
field_20956,blockBuilders
field_32935,COMPASS_WITH_GLINT_GUI_MODEL_MULTIPLIER
field_20957,entityBuilders
field_19979,playerInfo
field_17316,context
field_20958,entityVertexConsumers
field_20959,effectVertexConsumers
field_17318,inventoryChangeListener
field_32932,GLOW_FRAME_BLOCK_LIGHT
field_17317,selectedPattern
field_17312,value
field_17314,propertyDelegate
field_17313,inventory
field_32960,VANILLA
field_29316,direction
field_29317,offset
field_29318,name
field_29319,VALUES
field_29313,CEILING
field_29314,FLOOR
field_29315,CODEC
field_17321,patternSlot
field_17320,dyeSlot
field_30309,MAX_DISTANCE
field_20986,UNDERWATER_TEXTURE
field_20987,blockColors
field_32969,IRON_GOLEM_TEXTURE_PATH
field_17327,GENERIC_9X6
field_17326,GENERIC_9X3
field_17329,ANVIL
field_32965,SLIM
field_17328,GENERIC_3X3
field_32964,DEFAULT
field_17323,output
field_32963,PROGRAMMER_ART_NAME
field_17322,outputSlot
field_32962,PROGRAMER_ART_ID
field_19984,seedEdit
field_32961,SERVER
field_29300,RANDOMIZED_INT_STATE_PROVIDER
field_29305,values
field_29306,CODEC
field_29307,minHeightForLeaves
field_29308,bendLength
field_29301,CODEC
field_29302,source
field_29303,propertyName
field_20970,LIGHTNING
field_29304,property
field_17330,BEACON
field_20972,vertexFormat
field_20973,drawMode
field_17332,BREWING_STAND
field_17331,BLAST_FURNACE
field_20975,hasCrumbling
field_29309,BENDING_TRUNK_PLACER
field_32959,MAX_SAVED_PACKS
field_32958,MAX_FILE_SIZE
field_32957,PNG_EXTENSION
field_17338,LECTERN
field_17337,HOPPER
field_19999,LOGGER
field_17339,LOOM
field_17334,ENCHANTMENT
field_32952,MISSINGNO_ID
field_17333,CRAFTING
field_19998,slot
field_17336,GRINDSTONE
field_17335,FURNACE
field_32982,MAX_ROTATION
field_29330,refCount
field_29331,currentVertexArray
field_30320,RAGDOLL_TYPE
field_29332,currentVertexBuffer
field_29333,currentElementBuffer
field_29338,vertexArrayId
field_29339,elementFormat
field_29334,vertexFormat
field_29335,TEXTURE_ELEMENT
field_29336,BLIT_SCREEN
field_29337,LINES
field_17341,SHULKER_BOX
field_17340,MERCHANT
field_17343,CARTOGRAPHY_TABLE
field_17342,SMOKER
field_30329,ROLLING_HEAD_FLAG
field_30327,MAX_MOISTNESS
field_17349,TITLE
field_32989,MISSING
field_17348,MARKER
field_30328,CROUCHING_FLAG
field_32988,BUILTIN_ENTITY
field_32987,BUILTIN_GENERATED
field_30326,MAX_AIR
field_32986,BUILTIN
field_17345,data
field_30323,ALL_BLACK_TYPE
field_17344,factory
field_17347,CAMPFIRE_COOKING
field_30321,WHITE_TYPE
field_30322,JELLIE_TYPE
field_17346,CAMPFIRE
field_32971,DEFAULT_LANGUAGE_CODE
field_32970,TEXTURES
field_29327,LOGGER
field_29329,LOADER
field_29323,MODIFIER_CODEC
field_29324,maxWaterDepth
field_29325,CODEC
field_20992,queuedTaskCount
field_29326,LOGGER
field_17352,LIT
field_20993,bufferCount
field_17351,SHAPE
