interm,yarn
field_17309,field_17309
field_18639,BAKED_POTATO
field_17308,field_17308
field_18630,RABBIT
field_18636,SWEET_BERRIES
field_17305,field_17305
field_18635,SUSPICIOUS_STEW
field_17304,EMPTY
field_18638,APPLE
field_17307,oldValue
field_18637,TROPICAL_FISH
field_17306,field_17306
field_17301,field_17301
field_18632,ROTTEN_FLESH
field_17300,field_17300
field_18631,RABBIT_STEW
field_17303,field_17303
field_18634,SPIDER_EYE
field_18633,SALMON
field_17319,bannerSlot
field_18641,BEETROOT
field_17310,field_17310
field_18640,BEEF
field_18647,COD
field_17316,context
field_18646,CHORUS_FRUIT
field_17315,field_17315
field_18649,COOKED_CHICKEN
field_17318,inventoryChangeListener
field_18648,COOKED_BEEF
field_17317,selectedPattern
field_18643,BREAD
field_17312,value
field_18642,BEETROOT_SOUP
field_17311,field_17311
field_18645,CHICKEN
field_17314,propertyDelegate
field_18644,CARROT
field_17313,inventory
field_18650,COOKED_COD
field_18652,COOKED_PORKCHOP
field_17321,patternSlot
field_18651,COOKED_MUTTON
field_17320,dyeSlot
field_18658,GOLDEN_APPLE
field_17327,GENERIC_9X6
field_18657,ENCHANTED_GOLDEN_APPLE
field_17326,GENERIC_9X3
field_17329,ANVIL
field_18659,GOLDEN_CARROT
field_17328,GENERIC_3X3
field_18654,COOKED_SALMON
field_17323,outputInventory
field_18653,COOKED_RABBIT
field_17322,outputSlot
field_18656,DRIED_KELP
field_17325,field_17325
field_18655,COOKIE
field_17324,field_17324
b,b
field_18661,MUSHROOM_STEW
field_17330,BEACON
field_18660,MELON_SLICE
field_16000,DIRT
field_18663,POISONOUS_POTATO
field_17332,BREWING_STAND
field_16001,EMERALD
field_18662,MUTTON
field_17331,BLAST_FURNACE
t,t
v,v
field_16006,COLORS
field_17338,LECTERN
x,x
field_18669,levelProgress
field_16007,BLACK_TERRACOTTA
field_17337,HOPPER
y,y
field_18668,traderRewardedExperience
field_16008,AIR
field_16009,BLACK
field_17339,LOOM
field_16002,LAVA
field_17334,ENCHANTMENT
field_18665,GENERIC_9X2
field_16003,WHITE_TERRACOTTA
field_17333,CRAFTING
field_18664,GENERIC_9X1
field_16004,FOLIAGE
field_17336,GRINDSTONE
field_18667,GENERIC_9X5
field_16005,IRON
field_17335,FURNACE
field_18666,GENERIC_9X4
field_17341,SHULKER_BOX
field_18672,foodComponent
field_16010,YELLOW
field_17340,MERCHANT
field_16011,color
field_17343,CARTOGRAPHY
field_18674,GLOBE_BANNER_PATTERN
field_16012,NETHER
field_18673,foodComponent
field_17342,SMOKER
field_18670,levelled
field_16017,SPRUCE
field_17349,CONTAINER_NAME
field_16018,LIME_TERRACOTTA
field_18679,traderExperience
field_17348,INVALID
field_16019,WATER
field_16013,YELLOW_TERRACOTTA
field_18676,specialPrice
field_17345,data
field_16014,PURPLE
field_17344,factory
field_17347,CAMPFIRE_COOKING
field_16015,BLUE_TERRACOTTA
field_18678,priceMultiplier
field_16016,ICE
field_18677,demandBonus
field_17346,CAMPFIRE
field_16020,RED
field_17352,LIT
field_18683,field_18683
field_16021,id
field_17351,SHAPE
field_18682,field_18682
field_16022,WHITE
field_17354,WATERLOGGED
field_18685,NONE
field_16023,STONE
field_17353,SIGNAL_FIRE
field_18684,field_18684
field_18681,field_18681
field_17350,CAMPFIRE
field_18680,field_18680
field_16028,GREEN_TERRACOTTA
field_16029,PURPLE_TERRACOTTA
field_17359,field_17359
field_16024,LIGHT_BLUE
field_17356,INVENTORY_RETRIEVER
field_18687,DESTROY
field_17355,CONTAINER_NAME
field_16025,QUARTZ
field_18686,BREAK
field_16026,CYAN
field_17358,field_17358
field_18689,GLOBE
field_16027,GRAY_TERRACOTTA
field_17357,NAME_RETRIEVER
field_18688,field_18688
field_17363,CONTAINER_NAME
field_18694,deserializer
field_17362,CONTAINER_NAME
field_18693,unsavedElements
field_17365,POWERED
field_18696,field_18696
field_17364,CONTAINER_NAME
field_18695,factory
field_18690,directory
field_18692,loadedElements
field_17361,field_17361
field_16030,PINK
field_18691,LOGGER
field_17360,field_17360
field_17367,COLLISION_SHAPE_TOP
field_16035,operator
field_18698,field_18698
field_17366,HAS_BOOK
field_16036,cacheCapacity
field_18697,field_18697
field_17369,WEST_SHAPE
field_17368,COLLISION_SHAPE
field_16038,cache
field_18699,field_18699
field_17374,propertyDelegate
field_17373,CONTAINER_NAME
field_16044,field_16044
field_17376,customName
field_16045,cache
field_17375,field_17375
field_17370,NORTH_SHAPE
field_17372,SOUTH_SHAPE
field_17371,EAST_SHAPE
field_17378,propertyDelegate
field_17377,lock
field_17379,field_17379
field_17390,pageCount
field_16053,field_16053
field_17385,cookingTotalTimes
field_16054,MUSHROOM_FIELDS_ID
field_17384,cookingTimes
field_17387,propertyDelegate
field_16055,INSTANCE
field_17386,inventory
field_16056,field_16056
field_17381,propertyDelegate
field_17380,CAMPFIRE
field_16050,field_16050
field_17383,itemsBeingCooked
field_16051,INSTANCE
field_16052,INSTANCE
field_17382,field_17382
field_17389,currentPage
field_16057,field_16057
field_17388,book
field_16058,INSTANCE
field_16059,INSTANCE
field_4902,SKIN
field_4903,modelB
field_16070,chosenGroup1
field_4900,field_4900
