interm,yarn
method_4843,stopAll
method_3512,isShaded
method_3511,getWeight
method_24459,shouldMonitorTickDuration
method_3514,deserializeModel
method_4844,updateSoundVolume
method_3513,deserialize
method_4847,unregisterListener
method_12470,getCommand
method_3516,deserializeUvLock
method_4846,start
method_12471,isConditional
method_3515,deserializeRotation
method_4849,getAdjustedPitch
method_11140,onDifficulty
method_3517,deserializeWeight
method_25783,create
method_24452,generateVinesInArea
method_25782,getVariants
method_23121,drawPathInternal
method_3519,getComponents
method_24451,generateNetherWartBlocksInArea
method_25785,create
method_24454,initializeStructureData
method_25784,create
method_24453,addPieces
method_25787,create
method_25786,create
method_24455,generate
method_24458,startMonitor
method_24457,unpackRgb
method_11149,onEntityAttributes
method_24450,generateVineColumn
method_25780,get
method_11142,onPlayerSpawnPosition
method_12474,isAlwaysActive
method_11141,onResourcePackSend
method_12475,getCommand
method_11144,onScoreboardObjectiveUpdate
method_12472,shouldTrackOutput
method_11143,onLightUpdate
method_12473,getBlockPos
method_4850,getSoundVolume
method_11146,onPlaySound
method_12478,shouldTrackOutput
method_11145,onCommandTree
method_12479,getItemStack
method_4852,play
method_11148,onEntityStatus
method_12476,getMinecartCommandExecutor
method_4851,addPreloadedSound
method_11147,onKeepAlive
method_3520,getModels
method_12477,apply
method_23117,drawPathLines
method_3501,isTransformationDefined
method_24449,generate
method_23118,drawPath
method_24448,randomCoord
method_23119,getManhattanDistance
method_3503,getTransformation
method_3505,deserialize
method_4835,isPlaying
method_3504,parseModelTransformation
method_4838,stopSounds
method_4837,reloadSounds
method_3509,getRotation
method_24441,tryGenerateVines
method_25771,create
method_24440,generateStem
method_24443,generateHat
method_24442,generateVines
method_24445,generate
method_25775,coordinate
method_24444,generate
method_24447,getStartPos
method_25777,intersect
method_24446,checkAir
method_11139,onEntitySetHeadYaw
method_11138,onMobSpawn
method_12469,apply
method_25770,create
method_11131,onScreenHandlerPropertyUpdate
method_11130,onAdvancements
method_11133,onCombatEvent
method_11132,onVelocityUpdate
method_11135,onHeldItemChange
method_13798,generate
method_11134,onVehicleMove
method_13799,executeReset
method_12468,getType
method_13796,executeQuery
method_3510,getLocation
method_4840,updateListenerPosition
method_11136,onBlockUpdate
method_4865,updateSoundVolume
method_25769,create
method_23106,drawString
method_4864,getKeys
method_25768,extraToJson
method_3533,createStatePropertySelector
method_23107,drawString
method_24437,generate
method_3536,deserializeSelector
method_23108,drawString
method_2204,updateButtonText
method_4866,unregisterListener
method_3535,deserialize
method_23109,render
method_24439,generateHatBlock
method_4869,get
method_4868,isSoundResourcePresent
method_25761,with
method_25760,with
method_25763,with
method_25762,with
method_23101,getTargetedEntity
method_25765,get
method_23102,drawBox
method_24434,tryPlaceBasalt
method_25764,with
method_23103,drawBox
method_24433,generate
method_25767,validate
method_23104,drawBox
method_25766,get
method_23105,drawString
method_24435,stopOrPlaceBasalt
method_11128,onChunkData
method_11127,onTagQuery
method_11129,onStatistics
method_11120,onGameJoin
method_13784,executeSet
method_4870,stop
method_11122,onHealthUpdate
method_11121,onGameMessage
method_4872,play
method_11124,onExplosion
method_13787,getDayTime
method_3541,render
method_11123,onGuiActionConfirm
method_13788,executeAdd
method_11126,onSynchronizeTags
method_3543,render
method_4873,play
method_11125,onPlaySoundFromEntity
method_13786,register
method_3542,rendersOutsideBoundingBox
method_4854,play
method_25758,create
method_3523,deserialize
method_4853,getAdjustedVolume
method_25757,name
method_3522,deserializeComponents
method_4856,stop
method_3525,createPredicate
method_4855,registerListener
method_4858,play
method_4857,tick
method_3529,getModel
method_4859,stop
method_25752,set
method_24420,getShapeMap
method_25751,set
method_25754,name
method_25753,set
method_25756,get
method_11117,onPlayerRespawn
method_11116,onBlockDestroyProgress
method_11119,onRemoveEntityEffect
method_11118,onScoreboardPlayerUpdate
method_13772,look
method_12441,apply
method_12442,getSelectedSlot
method_11111,onSetCameraEntity
method_11110,onEntityAttach
method_13771,execute
method_12440,getRegionFile
method_11113,onPlayerList
method_13776,register
method_3530,getPredicate
method_4860,isPlayingType
method_11112,onEntitySpawn
method_11115,onUnlockRecipes
method_3531,deserializeSelectorOrDefault
method_11114,onPaintingSpawn
method_4801,put
method_11180,getZ
method_4800,get
method_11182,apply
method_11181,getY
method_4805,compare
method_11184,getExperience
method_4804,findAll
method_11183,getId
method_4807,sort
method_23164,drawBox
method_4806,add
method_23165,renderFire
method_24495,execute
method_4809,printArray
method_23166,renderShadow
method_4808,getDebugString
method_23167,registerRenderers
method_23168,getSquaredDistanceToCamera
method_23169,getPositionOffset
method_24499,sendCoordinates
method_24490,endMonitor
method_23160,getPositionOffset
method_23161,drawFireVertex
method_24491,register
method_23162,drawShadowVertex
method_23163,renderShadowPart
method_11185,getX
method_11171,getPitch
method_11170,getVelocityX
method_11173,getVelocityZ
method_11172,getVelocityY
method_23154,getAnimationCounter
method_24487,startMonitor
method_23155,getYOffset
method_23156,method_23156
method_24489,stopDebug
method_23157,method_23157
method_24488,isDebugRunning
method_23158,method_23158
method_23159,method_23159
method_23151,isPointOfInterest
method_11175,getX
method_11174,getY
method_11176,getZ
method_11179,setCustomName
method_11178,apply
method_4820,parseAnnouncementAddressPort
method_4823,needsUpdate
method_4825,markClean
method_11160,onEntityAnimation
method_12492,getSize
method_4824,addServer
method_12493,getMirror
method_4826,getServers
method_11161,onSelectAdvancementTab
method_12491,hasSkyLight
method_23142,getBrains
method_23144,getGhostPointsOfInterest
method_23145,isTargeted
method_23146,updateTargetedEntity
method_23147,isClose
method_23149,getUuid
setAttribute,setAttribute
method_23140,drawBrain
method_24472,getTexture
method_23141,getVillagerNames
method_11164,getUuid
method_12496,getOffset
method_12497,getSeed
method_11166,getEntityData
method_12494,getIntegrity
method_12495,apply
method_11168,getYaw
method_11167,getId
method_12498,getRotation
method_11169,getEntityTypeId
method_12499,getPos
method_4810,findAll
method_4812,getAddressPort
method_4811,getServer
method_4814,updateLastTime
method_12481,getSlot
method_4813,getMotd
method_11151,onEquipmentUpdate
method_11150,onItemPickupAnimation
method_12480,apply
method_4818,createAnnouncement
method_23131,drawGhostPointOfInterest
method_25794,register
method_24463,createParticle
method_4817,setLocalPlayerUuid
method_23132,drawString
method_25793,register
method_23133,drawString
method_24465,createParticle
method_4819,parseAnnouncementMotd
method_23134,drawString
method_24464,createParticle
method_25795,register
method_25798,register
method_23136,drawPath
method_24466,createParticle
method_25797,register
method_23137,drawPointOfInterestInfo
method_24469,getEntityShadow
method_23138,drawPointOfInterest
method_24468,getOutline
method_25790,register
method_25792,checkAllPropertyDefinitions
method_24461,setAngles
method_25791,getProperties
method_24460,endMonitor
method_11153,onInventory
method_11152,onCustomPayload
method_11155,onEntityUpdate
method_11154,onPlayerAbilities
method_11157,onPlayerPositionLook
method_12489,getSuffix
method_11159,onScoreboardDisplay
method_11158,onBlockEvent
method_12488,getSaveDirectory
method_25703,registerCartographyTable
method_25702,getFireSideModels
method_25705,registerSmithingTable
method_25704,getFireUpModels
method_25707,registerPumpkins
method_25706,registerLantern
method_25709,registerCauldron
method_25708,registerNorthDefaultHorizontalRotation
method_25701,registerCake
method_25700,getFireFloorModels
method_13723,executeEmpty
method_13728,executeListTeams
method_2270,createLists
method_13720,executeJoin
method_3589,render
method_2257,close
method_3588,rendersOutsideBoundingBox
method_2258,renderBackground
method_13714,executeLeave
method_13715,executeAdd
method_13713,executeModifyCollisionRule
method_3591,render
method_13711,executeModifyDisplayName
method_2267,createButtons
method_13702,executeAdd
method_13706,getTags
method_2297,compare
method_13700,executeList
method_2282,renderIcon
method_2285,getColumnX
method_2289,renderStatItem
method_4887,getSound
method_3556,getTextRenderer
method_24416,getState
method_4886,getSubtitle
method_25746,anyOf
method_3555,render
method_3558,method_3558
method_3557,render
method_24417,updateCurves
method_25748,get
method_25743,getBlock
method_25745,validate
method_25744,create
method_11106,onSynchronizeRecipes
method_11105,onPlayerListHeader
method_11108,onSignEditorOpen
method_12436,getPrimaryEffectId
method_11107,onUnloadChunk
method_11109,onScreenHandlerSlotUpdate
method_12430,apply
method_12431,getTradeId
method_11100,onChunkDeltaUpdate
method_13760,register
method_4894,getWeight
method_11102,onCloseScreen
method_13765,execute
method_3563,rendersOutsideBoundingBox
method_12434,apply
method_4893,getSound
method_11101,onExperienceBarUpdate
method_13766,teleport
method_12435,getSecondaryEffectId
method_4896,hasBrokenTreeBlocks
method_11104,onPlaySoundId
method_12432,convertAlphaChunk
method_4895,hasCrafted
method_11103,onTitle
method_12433,readAlphaChunk
method_4876,updateListenerPosition
method_25736,getBlockStateJsonPath
method_3545,renderLightBeam
method_4875,stopSounds
method_25735,writeJsons
method_4878,registerListener
method_4877,isPlaying
method_25737,getModelJsonPath
method_3546,render
method_3549,configure
method_4879,pauseAll
method_25730,log
method_25732,register
method_25731,register
method_25734,register
method_25733,register
method_13756,executeModifySuffix
method_13757,executeAdd
method_13751,executeModifySeeFriendlyInvisibles
method_4881,stopAll
method_3550,get
method_4880,resumeAll
method_4883,getSound
method_13754,executeModifyFriendlyFire
method_12423,hasChunk
method_4882,close
method_3551,setWorld
method_4885,add
method_3554,runReported
method_4884,onSoundPlayed
method_25725,stairs
method_3577,render
method_25724,slab
method_2248,getPlayerModelPartDisplayString
method_25727,getFlowerPotCrossModel
method_2249,initWidgetsNormal
method_25726,getCrossModel
method_25729,stem
method_25728,wood
method_25721,fence
method_25720,wall
method_25723,pressurePlate
method_25722,fenceGate
method_13747,executeRemove
method_12416,getTabToOpen
method_13748,executeListMembers
method_12417,apply
method_13745,executeModifyColor
method_12414,close
method_12415,getAction
method_12418,open
method_12419,getSectorData
method_3581,render
